City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel name,Hotel Name
133,Puerto Del Rosario,ES,73.15,overcast clouds,28.5004,-13.8627,,Hotel JM Puerto del Rosario
134,Kavieng,PG,82.99,light rain,-2.5744,150.7967,,Nusa Island Retreat
135,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,,Pousada Porto Praia
138,Lorengau,PG,82.22,overcast clouds,-2.0226,147.2712,,Lorengau Harbourside Hotel
139,Santa Ines,BR,81.21,few clouds,-3.6667,-45.38,,Palace hotel
140,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,,Pousada Porto De Canoas
141,Basseterre,KN,79.18,few clouds,17.2948,-62.7261,,St. Kitts Marriott Resort Hotel & The Royal Beach Casino
142,Coahuayana,MX,83.34,light rain,18.7333,-103.6833,,El rranchito michuacan de ocampos
144,Buala,SB,84.88,light rain,-8.145,159.5921,,Maringe Lagoon Lodge
145,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,,Valle Aridane
146,San Policarpo,PH,79.07,light rain,12.1791,125.5072,,Agapita M. Nicart
148,Ha Giang,VN,63.01,few clouds,22.8333,104.9833,,Truong Xuan Resort
149,Lampa,CL,61.65,clear sky,-33.2833,-70.9,,El sueño de Lampa I y II
150,Muisne,EC,74.12,overcast clouds,0.6,-80.0333,,Quinta Samay
152,Komsomolskiy,UZ,61.52,scattered clouds,40.4272,71.7189,,Ikathouse
159,Georgetown,MY,79.23,few clouds,5.4112,100.3354,,Cititel Penang
161,Pisco,PE,62.65,few clouds,-13.7,-76.2167,,Hotel San Isidro Oficial
162,Prince George,CA,71.26,clear sky,53.9166,-122.753,,Canadas Best Value Inn Prince George
163,Mongu,ZM,74.84,broken clouds,-15.2484,23.1274,,Country Lodge Mongu
165,Phuket,TH,83.12,light rain,8.0,98.25,,The Surin
166,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,,Keleti Beach Resort
168,Wellington,NZ,61.59,clear sky,-41.2866,174.7756,,CityLife Wellington
169,Worland,US,70.95,clear sky,44.0169,-107.9554,,Town House Motor Inn
170,Souillac,MU,70.18,few clouds,-20.5167,57.5167,,Shanti Maurice Resort & Spa
171,Kertosono,ID,77.02,overcast clouds,-7.5833,112.1,,Wisma melati
172,Mugumu,TZ,64.71,overcast clouds,-1.85,34.7,,Lemala Mara
174,Manokwari,ID,81.95,overcast clouds,-0.8667,134.0833,,Swiss Belhotel Manokwari
175,Touros,BR,77.77,overcast clouds,-5.1989,-35.4608,,INN NEW HORIZON
177,Biak,ID,78.93,light rain,-0.9131,122.8766,,Penginapan Kim
178,Satipo,PE,73.8,overcast clouds,-11.2522,-74.6386,,Bungalows El Palmiche
179,Vengurla,IN,76.53,overcast clouds,15.8667,73.6333,,Golven Resort
180,Vallenar,CL,68.67,clear sky,-28.5708,-70.7581,,Humacao Bed & Breakfast
181,Sungaipenuh,ID,63.28,overcast clouds,-2.0833,101.3833,,Penginapan Citra Alam
184,Funadhoo,MV,79.39,overcast clouds,6.15,73.2667,,Dhaffalhu Tourist Lodge
185,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,,Shandrani Beachcomber Resort & Spa
186,Bonthe,SL,77.47,overcast clouds,7.5264,-12.505,,Bonthe Holiday Village
192,Gunjur,GM,78.87,few clouds,13.2019,-16.7339,,Jallo Kurundingoto Eco Tourist Camp
194,Amahai,ID,81.16,overcast clouds,-3.3333,128.9167,,HOTEL ISABELA
196,Atuona,PF,76.95,scattered clouds,-9.8,-139.0333,,Villa Enata
201,Cabo San Lucas,MX,83.5,scattered clouds,22.8909,-109.9124,,Hotel Tesoro Los Cabos
202,Loandjili,CG,76.89,scattered clouds,-4.7561,11.8578,,Résidence ARCHANGE
206,Fare,PF,77.29,light rain,-16.7,-151.0167,,Maitai Lapita Village Huahine
207,Inhambane,MZ,71.58,scattered clouds,-23.865,35.3833,,Oceano
208,Havelock,US,73.94,clear sky,34.8791,-76.9013,,Sherwood Motel
209,Namibe,AO,66.33,broken clouds,-15.1961,12.1522,,Hotel Chik Chik Namibe
210,Katsuura,JP,66.04,light rain,35.1333,140.3,,Katsuura Hotel Mikazuki
211,Annau,TM,62.1,scattered clouds,37.8876,58.516,,"Гостиница ""Уссат инженер"""
213,Tarazona,ES,66.02,few clouds,41.9,-1.7333,,La Merced de la Concordia
216,Ignacio De La Llave,MX,81.12,overcast clouds,18.7167,-95.9833,,Hotel Valeria
217,Redlands,US,86.79,clear sky,34.0556,-117.1825,,Dynasty Suites Redlands
218,Jibuti,DJ,75.11,clear sky,11.5,42.5,,Orchid Main Camp Goubet
219,San Cristobal,VE,75.38,moderate rain,7.7669,-72.225,,Pirineos
