City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
393,Sisimiut,GL,66.9395,-53.6735,30.47,89,98,6.46,overcast clouds,2022-10-24 03:57:51
394,Vila Velha,BR,-20.3297,-40.2925,71.55,88,75,4.61,broken clouds,2022-10-24 03:57:51
395,Dunedin,NZ,-45.8742,170.5036,48.79,66,98,13.0,overcast clouds,2022-10-24 03:57:51
396,Salym,RU,60.0625,71.4789,31.69,72,100,14.61,overcast clouds,2022-10-24 03:57:52
397,Victor Harbor,AU,-35.5667,138.6167,61.68,89,100,1.01,overcast clouds,2022-10-24 03:57:52
398,Yerofey Pavlovich,RU,53.9667,121.9667,35.74,46,98,4.72,overcast clouds,2022-10-24 03:57:53
399,Lompoc,US,34.6391,-120.4579,55.94,80,0,8.16,clear sky,2022-10-24 03:57:53
400,Cermik,TR,38.1361,39.4493,55.58,34,71,2.89,broken clouds,2022-10-24 03:57:54
401,Tongren,CN,27.7172,109.1853,80.64,25,37,8.81,scattered clouds,2022-10-24 03:57:54
402,Plettenberg Bay,ZA,-34.0527,23.3716,60.37,88,34,3.0,scattered clouds,2022-10-24 03:57:54
403,Vaitape,PF,-16.5167,-151.75,79.52,74,18,8.77,few clouds,2022-10-24 03:57:55
404,Baoning,CN,25.3378,110.026,84.06,26,0,8.95,clear sky,2022-10-24 03:57:55
405,Carballo,ES,43.213,-8.691,60.49,92,48,7.81,scattered clouds,2022-10-24 03:58:56
406,Providencia,MX,28.7167,-111.5833,74.88,51,32,6.44,scattered clouds,2022-10-24 03:58:56
407,Alofi,NU,-19.0595,-169.9187,75.09,83,100,12.66,light intensity shower rain,2022-10-24 03:58:56
408,Boralday,KZ,43.3578,76.8594,48.25,64,81,7.05,broken clouds,2022-10-24 03:58:57
409,Fort Nelson,CA,58.8053,-122.7002,29.79,85,100,5.75,overcast clouds,2022-10-24 03:58:57
410,Bose,IT,45.4612,8.0137,61.2,96,100,1.7,overcast clouds,2022-10-24 03:58:58
411,Balikpapan,ID,-1.2675,116.8289,79.79,89,20,6.91,few clouds,2022-10-24 03:58:58
412,Novo Oriente,BR,-5.5344,-40.7742,76.51,68,31,3.87,scattered clouds,2022-10-24 03:58:59
